#{"t_start": 1781161091.3453863, "env_id": "HandManipulateBlockRotateZ-v1"}
r,l,t,is_success
-100.0,100,2340.528127,0.0
-95.0,100,2341.493526,0.0
-100.0,100,2342.468189,0.0
-100.0,100,2343.442205,0.0
-100.0,100,2344.392298,0.0
-100.0,100,2345.329061,0.0
-100.0,100,2346.295022,0.0
-100.0,100,2347.229836,0.0
-100.0,100,2348.131698,0.0
-100.0,100,2348.960315,0.0
-100.0,100,2349.845898,0.0
-100.0,100,2350.759846,0.0
-100.0,100,2351.734491,0.0
-100.0,100,2352.633039,0.0
-100.0,100,2353.547256,0.0
-100.0,100,2354.431035,0.0
-100.0,100,2355.331175,0.0
-100.0,100,2356.245876,0.0
-100.0,100,2357.200218,0.0
-86.0,100,2358.126199,1.0
-100.0,100,2359.077239,0.0
-100.0,100,2360.035588,0.0
-88.0,100,2361.018898,0.0
-100.0,100,2362.048549,0.0
-100.0,100,2363.024515,0.0
-100.0,100,2363.980169,0.0
-100.0,100,2364.861193,0.0
-100.0,100,2365.753223,0.0
-100.0,100,2366.694445,0.0
-100.0,100,2367.611558,0.0
-100.0,100,2368.492867,0.0
-27.0,100,2369.364094,0.0
-100.0,100,2370.259038,0.0
-100.0,100,2371.230462,0.0
-35.0,100,2372.210243,0.0
-100.0,100,2373.146437,0.0
-100.0,100,2374.073313,0.0
-100.0,100,2375.039848,0.0
-100.0,100,2375.959004,0.0
-100.0,100,2376.899235,0.0
-100.0,100,2377.814992,0.0
-100.0,100,2378.725195,0.0
-100.0,100,2379.626376,0.0
-100.0,100,2380.571834,0.0
-100.0,100,2381.613766,0.0
-100.0,100,2382.608888,0.0
-100.0,100,2383.598325,0.0
-100.0,100,2384.541882,0.0
-100.0,100,2385.364718,0.0
-91.0,100,2386.292004,0.0
-100.0,100,2387.166002,0.0
-100.0,100,2387.993614,0.0
-100.0,100,2388.788031,0.0
-100.0,100,2389.669718,0.0
-100.0,100,2390.593316,0.0
-100.0,100,2391.518374,0.0
-100.0,100,2392.50219,0.0
-100.0,100,2393.478395,0.0
-100.0,100,2394.431163,0.0
-100.0,100,2395.317452,0.0
-100.0,100,2396.292752,0.0
-100.0,100,2397.150548,0.0
-100.0,100,2398.448737,0.0
-63.0,100,2399.173595,0.0
-76.0,100,2403.032496,0.0
-100.0,100,2407.221069,0.0
-100.0,100,2411.556227,0.0
-100.0,100,2415.81869,0.0
-100.0,100,2420.267848,0.0
-100.0,100,2424.573621,0.0
-100.0,100,2428.891418,0.0
-72.0,100,2433.013645,0.0
-100.0,100,2437.475252,0.0
-100.0,100,2441.867545,0.0
